Name,Distillery,Size(ml/L),Proof,Age,MSRP,SecondaryPrice,BottlesOwned
1792 Full Proof,Barton 1792,750,125,8,50,65,1
1792 12 Year,Barton 1792,750,96.6,12,50,100,1
Bird Dog Peanut Butter Whiskey,Bird Dog,750,80,NAS,20,20,1
Old Forester Single Barrel,Brown-Forman,750,100,NAS,40,80,1
Old Forester Birthday Bourbon(2020),Brown-Forman,750,98,10,150,650,1
Weller Special Reserve,Buffalo Trace,1.75,90,4-7,45,90,1
Weller Antique 107,Buffalo Trace,750,107,6-8,50,130,1
Weller 12 Year,Buffalo Trace,750,90,12,50,200,1
Weller Full Proof,Buffalo Trace,750,114,NAS,50,200,1
Weller CYPB,Buffalo Trace,750,95,8,50,650,1
Elmer T Lee,Buffalo Trace,750,90,5-7,60,300,1
Stagg Jr,Buffalo Trace,750,131.1,8,50,100,1
EH Taylor Single Barrel,Buffalo Trace,750,100,NAS,60,150,2
Benchmark Full Proof,Buffalo Trace,750,125,NAS,20,30,1
Elijah Craig Barrel Proof,Heaven Hill,750,127.2,12,60,100,1
Michters Barrel Strength,Michters,750,107,NAS,100,200,1
Very Old St Nick Winter Maple Rye,Preservation,750,81.2,7,120,240,1
Caribou Corssing,Sazerac/Buffalo Trace,750,80,3,50,100,1
Sazerac Rye,Sazerac/Buffalo Trace,750,90,6,35,60,1
Old Rip Van Winkle 10 Year,Sazerac/Buffalo Trace,750,107,10,70,650,1
Woodford Reserve Very Fine Rare,Woodford Reserve,750,90.4,11-17,140,300,1
Woodford Reserve Double Double Oak,Woodford Reserve,375,90.4,NAS,60,120,1
